OrderID,Customer,Product,Category,Quantity,Price,Date
101,Arjun,Mobile,Electronics,1,15000,2025-01-15
102,Meera,Laptop,Electronics,2,55000,2025-01-16
103,Ravi,Shirt,Fashion,3,1200,2025-01-16
104,Neha,Shoes,Fashion,1,2500,2025-01-17
105,Amit,Book,Stationery,4,300,2025-01-18
106,Kiran,Tablet,Electronics,1,20000,2025-01-18
107,Pooja,Pen,Stationery,10,20,2025-01-19
108,Vikas,Jeans,Fashion,2,1800,2025-01-19
109,Sneha,Headphones,Electronics,1,3000,2025-01-20
110,Raj,Notebook,Stationery,5,100,2025-01-20
111,Meera,Mobile,Electronics,,15000,2025-01-21
112,,Laptop,Electronics,1,55000,2025-01-21
113,Ravi,Shirt,Fashion,2,,2025-01-22
114,Neha,,Fashion,1,2000,2025-01-22
115,Amit,Book,Stationery,3,300,2025-01-23
116,Kiran,Tablet,Electronics,1,20000,
117,Pooja,Pen,Stationery,5,20,2025-01-24
118,Vikas,Jeans,Fashion,,1800,2025-01-25
119,Sneha,Headphones,Electronics,1,3000,2025-01-26
120,Raj,Notebook,Stationery,5,100,2025-01-26
121,Arjun,Mobile,Electronics,1,15000,2025-01-27
122,Meera,Laptop,Electronics,2,55000,2025-01-27
123,Ravi,Shirt,Fashion,3,1200,2025-01-28
124,Ravi,Shirt,Fashion,3,1200,2025-01-28   # duplicate row
